EventID,EventTypeID,EventSubtypeID,CreationTime,ClearTime,EventSource,LanesAffected,EventPriority,ImpactDisplayOrder,Status,BeginMP,EndMP,Route,SourceName,VehicleCount,BeginLatitude,BeginLongitude,EndLatitude,EndLongitude,County,City,Direction,RecoveryBeginTime,LastUpdateTime
25T093938,OB,265,2025-11-11 22:48:00.947000000,2025-11-11 22:48:41.397000000,OA,0,2,2,6,289.0000,,I-5,,,45.37573,-122.75554,,,Washington,Tualatin,SB,,2025-11-11 22:48:41.630000000
25T093937,OB,265,2025-11-11 22:44:11.703000000,2025-11-11 23:29:30.060000000,MA,6,2,4,6,289.5000,,I-5,WCCCA,,45.38270,-122.75268,,,Washington,Tualatin,SB,,2025-11-11 23:29:30.250000000
25T093936,VH,370,2025-11-11 22:27:04.197000000,2025-11-11 23:30:06.607000000,MA,3,1,6,6,4.2100,,OR-217,WCCCA PAGER,2,45.45257,-122.78466,,,Washington,Beaverton,SB,,2025-11-11 23:30:06.820000000
25T093928,VH,370,2025-11-11 20:49:39.790000000,2025-11-11 21:06:31.233000000,MA,0,1,4,6,99.0000,,US-101,,1,45.08819,-123.96901,,,Tillamook,,,,2025-11-11 21:06:31.370000000
25T093923,VH,410,2025-11-11 19:21:32.390000000,2025-11-11 19:51:19.390000000,MA,1,4,4,6,299.7200,,I-5,THEODORE MAGNUSON,1,45.50014,-122.67367,,,Multnomah,Portland,SB,,2025-11-11 19:51:19.550000000
25T093922,VH,370,2025-11-11 19:14:19.580000000,2025-11-11 19:31:12.520000000,MA,0,4,2,6,.6300,,US-26,JONATHON,2,45.50094,-122.66846,,,Multnomah,Portland,,,2025-11-11 19:31:12.690000000
25T093921,LE,252,2025-11-11 19:10:58.823000000,2025-11-11 19:13:57.997000000,MA,1,4,2,6,294.6200,,I-5,PHILIP STRAUB,1,45.45091,-122.72837,,,Multnomah,Portland,NB,,2025-11-11 19:13:58.390000000
25T093920,VH,410,2025-11-11 18:59:02.120000000,2025-11-11 19:39:16.627000000,MA,3,4,5,6,301.4400,,I-5,CELL CALLER,2,45.52256,-122.66539,,,Multnomah,Portland,NB,,2025-11-11 19:39:16.790000000
25T093919,VH,416,2025-11-11 18:52:02.767000000,2025-11-11 19:35:45.260000000,MA,0,2,2,6,23.0000,,US-20,,,44.43887,-122.78555,,,Linn,,,,2025-11-11 19:35:45.430000000
25T093918,VH,405,2025-11-11 18:25:53.190000000,2025-11-11 19:23:08.877000000,MA,0,3,4,6,19.0000,,OR-138,,,43.32009,-123.05887,,,Douglas,,,,2025-11-11 19:23:09.040000000
