"EventID","EventTypeID","EventSubtypeID","CreationTime","ClearTime","EventSource","LanesAffected","EventPriority","ImpactDisplayOrder","Status","BeginMP","EndMP","Route","SourceName","VehicleCount","BeginLatitude","BeginLongitude","EndLatitude","EndLongitude","County","City","Direction","RecoveryBeginTime","LastUpdateTime"
"25T092221","VH",370,"2025-11-05 16:13:46.203000000","2025-11-05 16:18:40.250000000","MA",3,4,6,6,278.93,NA,"I-5","VERIZON","",45.23821,-122.80438,NA,NA,"Marion","","SB","","2025-11-05 16:18:40.830000000"
"25T092221","VH",370,"2025-11-05 16:13:46.203000000","2025-11-05 16:18:40.250000000","MA",3,4,6,6,278.93,NA,"I-5","VERIZON","",45.23821,-122.80438,NA,NA,"Marion","","SB","","2025-11-05 16:18:40.830000000"
"25T092221","VH",370,"2025-11-05 16:13:46.203000000","2025-11-05 16:18:40.250000000","MA",3,4,6,6,278.93,NA,"I-5","VERIZON","",45.23821,-122.80438,NA,NA,"Marion","","SB","","2025-11-05 16:18:40.830000000"
"25T089486","VH",370,"2025-10-27 21:37:04.523000000","2025-10-27 21:41:26.060000000","MA",2,1,6,6,18,NA,"OR-58","","1",43.87835,-122.70392,NA,NA,"Lane","","","","2025-10-27 21:41:26.640000000"
"25T089486","VH",370,"2025-10-27 21:37:04.523000000","2025-10-27 21:41:26.060000000","MA",2,1,6,6,18,NA,"OR-58","","1",43.87835,-122.70392,NA,NA,"Lane","","","","2025-10-27 21:41:26.640000000"
"25T088258","OB",290,"2025-10-24 15:04:32.037000000","2025-10-24 15:06:34.023000000","MA",2,3,5,6,222,NA,"US-101","","",43.59127,-124.18282,NA,NA,"Coos","Lakeside","SB","","2025-10-24 15:06:34.390000000"
"25T088258","OB",290,"2025-10-24 15:04:32.037000000","2025-10-24 15:06:34.023000000","MA",2,3,5,6,222,NA,"US-101","","",43.59127,-124.18282,NA,NA,"Coos","Lakeside","SB","","2025-10-24 15:06:34.390000000"
"25T084144","VH",405,"2025-10-09 14:35:57.223000000","2025-10-09 14:40:11.263000000","MA",2,3,6,6,20.37,NA,"OR-22","","",44.93263,-123.14205,NA,NA,"Polk","","","","2025-10-09 14:40:11.780000000"
"25T084144","VH",405,"2025-10-09 14:35:57.223000000","2025-10-09 14:40:11.263000000","MA",2,3,6,6,20.37,NA,"OR-22","","",44.93263,-123.14205,NA,NA,"Polk","","","","2025-10-09 14:40:11.780000000"
"25T078694","OB",265,"2025-09-19 08:48:39.470000000","2025-09-19 09:00:34.160000000","MA",2,2,2,6,293,NA,"I-5","","",45.4325,-122.74433,NA,NA,"Washington","Tigard","SB","","2025-09-19 09:00:34.400000000"
"25T078694","OB",265,"2025-09-19 08:48:39.470000000","2025-09-19 09:00:34.160000000","MA",2,2,2,6,293,NA,"I-5","","",45.4325,-122.74433,NA,NA,"Washington","Tigard","SB","","2025-09-19 09:00:34.400000000"
"25T077332","OB",290,"2025-09-14 13:47:56.280000000","2025-09-14 14:02:39.997000000","MA",2,3,4,6,72.97,NA,"US-26","cell caller","",45.51149,-122.70572,NA,NA,"Multnomah","Portland","WB","","2025-09-14 14:02:40.530000000"
"25T077332","OB",290,"2025-09-14 13:47:56.280000000","2025-09-14 14:02:39.997000000","MA",2,3,4,6,72.97,NA,"US-26","cell caller","",45.51149,-122.70572,NA,NA,"Multnomah","Portland","WB","","2025-09-14 14:02:40.530000000"
"25T076616","VH",370,"2025-09-11 09:53:18.820000000","2025-09-11 09:54:34.743000000","MA",3,1,2,6,3.7,NA,"OR-212","","",45.41783,-122.43425,NA,NA,"Clackamas","","","","2025-09-11 09:54:35.510000000"
"25T076616","VH",370,"2025-09-11 09:53:18.820000000","2025-09-11 09:54:34.743000000","MA",3,1,2,6,3.7,NA,"OR-212","","",45.41783,-122.43425,NA,NA,"Clackamas","","","","2025-09-11 09:54:35.510000000"
"25T076616","VH",370,"2025-09-11 09:53:18.820000000","2025-09-11 09:54:34.743000000","MA",3,1,2,6,3.7,NA,"OR-212","","",45.41783,-122.43425,NA,NA,"Clackamas","","","","2025-09-11 09:54:35.510000000"
"25T074390","OB",265,"2025-09-02 18:48:09.913000000","2025-09-02 18:52:02.913000000","MA",2,4,2,6,14.59,NA,"OR-99","RAMIREZ","ABELINO",NA,42.24199,-122.77797,NA,"","Jackson","Talent","",""
"2025-09-02 18:52:03.550000000","",NA,"","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","","","",""
"25T074390","OB",265,"2025-09-02 18:48:09.913000000","2025-09-02 18:52:02.913000000","MA",2,4,2,6,14.59,NA,"OR-99","RAMIREZ","ABELINO",NA,42.24199,-122.77797,NA,"","Jackson","Talent","",""
"2025-09-02 18:52:03.550000000","",NA,"","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","","","",""
