"EVNT_ID","VechicleMake","VehicleColor","VehicleModel","TowCompany"
"25T062772",NA,"White",NA,"BC Towing"
"25T062772",NA,"White",NA,"OK Motor Sales & Towing"
"25T062772",NA,"White",NA,"BC Towing"
"25T062772",NA,"White",NA,"OK Motor Sales & Towing"
"25T068616","Travel","White","Trailer","Frontier Equipment, Inc"
"25T068616","Travel","White","Trailer","Frontier Equipment, Inc"
"25T068616","Travel","White","Trailer","Frontier Equipment, Inc"
"25T072696","Comfort","Tan",NA,"Bulldog Towing (Grants Pass)"
"25T072696","Comfort","Tan",NA,"Bulldog Towing (Grants Pass)"
"25T072696","Comfort","Tan",NA,"Oregon Towing"
"25T072696","Comfort","Tan",NA,NA
"25T072696","Comfort","Tan",NA,"Oregon Towing"
"25T072696","Comfort","Tan",NA,NA
"25T073970","Subaru","Black","Forester","Elite Towing & Recovery **Tow Desk**"
"25T073970","Subaru","Black","Forester","Elite Towing & Recovery **Tow Desk**"
"25T074833","TRAILER",NA,NA,"Guzman Brothers Mobile Repair & Towing"
"25T074833","TRAILER",NA,NA,"Guzman Brothers Mobile Repair & Towing"
"25T077873","Hyundai","Silver","elantra","Classic Towing"
"25T077873","Hyundai","Silver","elantra","Classic Towing"
"25T077873","Hyundai","Silver","elantra","Affordable Towing & Repair, LLC"
"25T077873","Hyundai","Silver","elantra","Grumpys Towing and Recovery Inc."
"25T077873","Hyundai","Silver","elantra","Affordable Towing & Repair, LLC"
"25T077873","Hyundai","Silver","elantra","Grumpys Towing and Recovery Inc."
"25T077966","Audi","Black",NA,"21st Century Towing"
"25T077966","Audi","Black",NA,"21st Century Towing"
"25T078250",NA,"White",NA,"OK Motor Sales & Towing"
"25T078250",NA,"White",NA,"OK Motor Sales & Towing"
"25T078250",NA,"White",NA,"Mishler Towing, Inc"
"25T078250",NA,"White",NA,"Mishler Towing, Inc"
"25T079626","Dodge","Red","CARAVAN","Riddle Towing & Recovery"
"25T079626","Dodge","Red","CARAVAN","Riddle Towing & Recovery"
"25T081359",NA,NA,NA,"Ray's Towing & Garage Co, Inc"
"25T081359",NA,NA,NA,"Ray's Towing & Garage Co, Inc"
"25T082566","Dodge","White","RAM",NA
"25T082566","Dodge","White","RAM",NA
"25T083877","FRTV",NA,"MH","Cascade Towing & Automotive, Inc"
"25T083877","FRTV",NA,"MH","Cascade Towing & Automotive, Inc"
"25T083877","FRTV",NA,"MH","Cascade Towing & Automotive, Inc"
"25T084398","Chevrolet","White","P30","Burdens Muffler & Towing"
"25T084398","Chevrolet","White","P30","Burdens Muffler & Towing"
"25T085050","Toiga","White","Jamboree","All Ways Towing"
"25T085050","Toiga","White","Jamboree","All Ways Towing"
"25T086509","Toyota","Silver","Avalone","Trac Towing"
"25T086509","Toyota","Silver","Avalone","Trac Towing"
"25T086542","Dodge","White","VAN","All Ways Towing"
"25T086542","Dodge","White","VAN","All Ways Towing"
"25T087026",NA,NA,NA,"Larkin Towing, LLC"
"25T087026",NA,NA,NA,"Larkin Towing, LLC"
"25T087959","COMP","White","RV","Rowley's Towing"
"25T087959","COMP","White","RV","Coast Towing, Inc"
"25T087959","COMP","White","RV","Menefee Welding Repair & Towing, LLC"
"25T087959","COMP","White","RV","Rowley's Towing"
"25T087959","COMP","White","RV","Coast Towing, Inc"
"25T087959","COMP","White","RV","Menefee Welding Repair & Towing, LLC"
"25T089015",NA,NA,NA,NA
"25T089015",NA,NA,NA,NA
"25T090944",NA,NA,NA,"AA Towing"
"25T090944",NA,NA,NA,"AA Towing"
"25T092766",NA,NA,NA,"Taylor's Towing & Auto Wrecking"
"25T092766",NA,NA,NA,"Taylor's Towing & Auto Wrecking"
